GHCN ID,Station Name,State,County,Latitude,Longitude,13/03/2017,14/03/2017,15/03/2017,16/03/2017
US1VAMN0025,BLACKSBURG 1.6 NNE,VA,MONTGOMERY,-80.42,37.25,0.0,1.0,0.0,0.0
US1VAMN0013,BLACKSBURG 1.7 ESE,VA,MONTGOMERY,-80.4,37.22,0.0,0.0,0.0,0.0
US1VAMN0021,BLACKSBURG 2.4 ENE,VA,MONTGOMERY,-80.39,37.25,0.0,1.0,0.2,0.0
US1VAMN0022,BLACKSBURG 4.3 WSW,VA,MONTGOMERY,-80.5,37.22,0.0,1.8,0.0,0.0
US1VAMN0009,BLACKSBURG 5.0 W,VA,MONTGOMERY,-80.52,37.22,0.0,1.5,0.0,0.0
USC00440766,BLACKSBURG NWSO,VA,MONTGOMERY,-80.41,37.2,0.0,0.0,0.0,0.0
US1VAFR0006,BOONES MILL 12.6 E,VA,FRANKLIN,-79.72,37.14,0.0,0.0,0.0,0.0
US1VAFR0015,BOONES MILL 5.5 E,VA,FRANKLIN,-79.85,37.13,0.0,0.0,0.0,0.0
US1VABR0002,BRACEY 6.0 ESE,VA,BRUNSWICK,-78.04,36.57,0.0,0.0,0.0,0.0
USC00440993,BREMO BLUFF,VA,FLUVANNA,-78.29,37.71,0.0,0.0,0.0,0.0
US1VAWH0005,BRISTOL 6.7 W,VA,WASHINGTON,-82.29,36.6,0.0,0.0,0.0,0.0
US1VAFQ0013,BROAD RUN 2.8 SSW,VA,FAUQUIER,-77.73,38.78,0.0,4.5,0.0,0.0
USC00441082,BROOKNEAL,VA,CAMPBELL,-78.95,37.07,0.0,0.0,0.0,0.0
USC00441136,BUCKINGHAM,VA,BUCKINGHAM,-78.53,37.51,0.0,0.0,0.0,0.0
USC00441159,BUENA VISTA,VA,ROCKBRIDGE,-79.36,37.73,0.0,1.0,0.0,0.0
USC00441209,BURKES GARDEN,VA,TAZEWELL,-81.34,37.09,0.0,1.4,4.0,0.0
US1VARN0001,CAVE SPRING 2.4 SSW,VA,ROANOKE,-80.02,37.19,0.0,0.0,0.0,0.0
USC00441593,CHARLOTTESVILLE 2W,VA,ALBEMARLE,-78.52,38.03,0.0,0.7,0.0,0.0
US1VAAB0010,CHARLOTTESVILLE 8.4 W,VA,ALBEMARLE,-78.64,38.02,0.0,0.0,0.0,0.0
USC00441614,CHATHAM,VA,PITTSYLVANIA,-79.41,36.82,0.0,0.0,0.0,0.0
US1VACSC004,CHESAPEAKE 9.8 NW,VA,CHESAPEAKE,-76.41,36.79,0.0,0.0,0.0,0.0
US1VACS0021,CHESTERFIELD 3.2 SSW,VA,CHESTERFIELD,-77.53,37.33,0.0,0.0,0.0,0.0
US1VACS0020,CHESTERFIELD 8.5 WSW,VA,CHESTERFIELD,-77.64,37.33,0.0,0.0,0.0,0.0
US1VAAC0010,CHINCOTEAGUE 1.3 SSW,VA,ACCOMACK,-75.37,37.93,0.0,0.0,0.0,0.0
